,Title,Description,Date,Source,Urls
0,Sebi proposes unique UPI address for payment collection to weed out unregistered entities,Sebi UPI: Market regulator Securities and Exchange Board of India (Sebi) is considering creating a unique Unified Payments Interface (UPI) address to ensure the investor money reaches only to the SEBI registered intermediaries.,34 minutes ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/sebi-proposes-unique-upi-address-for-payment-collection-to-weed-out-unregistered-entities/articleshow/117796386.cms
1,India shouldn’t give up on coal without ‘alternatives’: Economic Survey,"The country must harness its ‘best resources, advanced technologies, and expertise’ to becoming a developed nation by 2047 while ensuring a low-carbon pathway, it says",42 minutes ago,— The Hindu Business,https://www.thehindu.com/business/budget/india-shouldnt-give-up-on-coal-without-alternatives-economic-survey/article69164396.ece
2,"Buy, Sell Or Hold: Tata Motors, Vedanta, HDFC Life, IRFC, Ireda — Ask Profit","Market analysts share insights for short-term and long-term investors on whether to buy, sell or hold shares of Zee Entertainment, KEC International, Cochin Shipyard and more.",52 minutes ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/buy-sell-or-hold-tata-motors-vedanta-hdfc-life-irfc-ireda-ask-profit
3,Banks most affected by cybersecurity incidents: Economic Survey,It says Indian financial sector amid digital transformation was exposed to increased and diverse cyber threats,54 minutes ago,— The Hindu Business,https://www.thehindu.com/business/budget/banks-most-affected-by-cybersecurity-incidents-economic-survey/article69164667.ece
4,Economic Survey a powerful indictment of economic policies pursued by Modi government: Congress,"Chief Economic Adviser’s advice to the government to ‘Get out of the way’ is the most sensible piece of advice that I have heard from any government official in the last 10 years, said P. Chidambaram",55 minutes ago,— The Hindu Business,https://www.thehindu.com/business/budget/chidambaram-economic-survey-2025-powerful-indictment-of-economic-policies-pursued-by-modi-government-congress/article69164499.ece
5,"Market Trading Guide: ITC, Power Grid are among 8 stock recommendations for Saturday","Indian markets rallied for the fourth consecutive session, driven by strong buying in auto, FMCG, and banking stocks. Nifty’s falling wedge breakout signals bullish momentum, with key support at 23,300 and resistance at 23,800 ahead of the budget.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/market-trading-guide-itc-power-grid-are-among-8-stock-recommendations-for-saturday/slideshow/117796350.cms
6,"ONGC Q3 Results: Profit Slips 31%, Misses Estimates","Revenue from operations for the quarter ended December slipped marginally to Rs 33,716.8 crore.",1 hour ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/ongc-q3-fy25-results-profit-slips-misses-analyst-estimates
7,National Highways construction slowed down in first 9 months; total 5.8k km built,Government targets rollout of barrier-free tolling across NHs with more than four lanes and high speed corridors by FY 2029.,1 hour ago,— The Hindu Business,https://www.thehindu.com/business/budget/national-highways-construction-slowed-down-in-first-9-months-total-58k-km-built/article69164419.ece
8,"Economic survey sees robust growth in agriculture, allied sectors","The agriculture sector grew at an average of 5% annually from 2016-17 to 2022-23, “demonstrating resilience despite challenges”, it said.",1 hour ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-sees-robust-growth-in-agriculture-allied-sectors/article69164709.ece
9,Karnataka Bank Q3 results: Profit falls 14% to Rs 284 crore,"Karnataka Bank’s Q3 net profit declined 14.3% YoY to ₹284 crore due to lower earnings. Operating profit fell 20%, while net interest margin dropped to 3.02%. Asset quality improved as NPAs reduced, and advances grew 11.6% YoY.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/karnataka-bank-q3-results-profit-falls-14-to-rs-284-crore/articleshow/117795321.cms
10,ONGC Announces Second Interim Dividend Of Rs 5 Per Share,"The company has set Feb. 7, 2025, as the record date to determine the shareholders eligible for the dividend.",1 hour ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/ongc-announces-dividend-of-rs-5-per-share
11,"Economic Survey notes significant progress in sanitation, water supply",It says tap water coverage increased to 70% and sewerage coverage rose to 62% in Indian cities,1 hour ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-notes-significant-progress-in-sanitation-water-supply/article69164138.ece
12,US stocks open higher on in-line inflation reading,"​​​US stocks: Wall Street's main indexes opened higher on Friday on gains in Apple following its strong sales forecast, with an in-line reading for the Federal Reserve's favored inflation gauge keeping expectations about its interest-rate path unaffected.",1 hour ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/us-stocks-open-higher-on-in-line-inflation-reading/articleshow/117794935.cms
13,City Union Bank Q3 net climbs 13% to ₹286 crore,,1.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/cub/article69164655.ece
14,"ONGC Q3 Results: Cons PAT falls 19% YoY to Rs 8,622 crore; Rs 5 per share dividend announced","ONGC Q3 Results: Oil & Natural Gas Commission (ONGC) on Friday reported a 19% year-on-year fall in its December quarter consolidated net profit at Rs 8,622 crore versus Rs 10,703 crore posted in the year ago period. It was below ET Now poll of Rs 9,700 crore.",1.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/ongc-q3-results-cons-pat-falls-19-yoy-to-rs-8622-crore-rs-5-per-share-dividend-announced/articleshow/117794623.cms
