Names,Weblink,Tag,Status,,
Tataelxi,https://www.tataelxsi.com/news-and-events,h2,,,
ITC,https://www.itcportal.com/media-centre/press-reports.aspx,h4,,,
INFOSYS,https://www.infosys.com/newsroom/press-releases/2024/top-3-it-services-brand-globally2024.html,h1,,,
Oracle Fin.Serv,https://www.oracle.com/in/news/,a,,,
Hind.Aeronautics,https://hal-india.co.in/media-release,h4,,,
Angel One,https://www.angelone.in/news,h4,,,
KPIT Technologi.,https://www.kpit.com/newsroom/kpit-in-news/,h6,,,
Triveni Turbine,https://www.triveniturbines.com/media/#news-listings,h3,,,
l&T Technology,https://www.ltts.com/about-us/news,h6,,,
Solar Industries,https://solargroup.com/news.html,p,,,
Bharat Electron,https://bel-india.in/news/,a,,,
Bajaj Auto,https://www.bajajauto.com/,p,,,
3M India,https://news.3m.com/in-the-news,a,,,
NBCC,https://nbccindia.in/webEnglish/news,h3,,,
Jupiter Wagons,https://jupiterwagons.com/news-media/#certification-sec,p,,,
NMDC,https://www.nmdc.co.in/press-and-media/press-releases,td,,,
Vedant Fashions,https://www.vedantfashions.com/news/,h3,,,
ABB,https://global.abb/group/en/media,h5,,,
KFin Technologies,https://www.kfintech.com/newsroom/,h2,,,
Natco Pharma,https://www.natcopharma.co.in/about/news-2/,span,,,
Pidilite Inds.,https://www.pidilite.com/media/news,h3,,,
Persistent Sys,https://www.persistent.com/media/news/,h6,,,
SKF India,https://www.skf.com/in/news-and-events/news,span,,,
Supreme Inds.,https://www.supreme.co.in/blog/plastic-chairs-that-perfectly-suit-every-corner-of-your-home,h2,,,
Tata Technologies,https://www.tatatechnologies.com/in/news/,h2,,,
Concord Biotech,https://www.concordbiotech.com/news-media,button,,,
Ratnamani Metals,https://www.ratnamani.com/news_events.html,span,,in image format with title,
Hind. Unilever,https://www.hul.co.in/news/,span,,,
KEI Industries,https://www.kei-ind.com/newscat/press-coverage/,a,,in image type,
Schaeffler India,https://www.schaeffler.co.in/en/news-media/press_releases/?filter=country%3A5937%3Blanguage%3A167&page=1,a,,Blocked,
Newgen Software,https://newgensoft.com/,div,,no seprate page for news here,
Narayana Hrudaya,https://www.narayanahealth.org/news-media,h6,,not showing in VS,
Dr Reddy's Labs,https://www.drreddys.com/#we-are-in-the-news,h3,,not showing in VS,
Petronet LNG,https://petronetlng.in/press-release,p,,redirecting to pdf,
Tube Investments,https://tiindia.com/press-releases/,span,,redirecting to pdf,not showing in VS
Coromandel Inter,https://www.coromandel.biz/media-insights/#press-releases,a,,not showing in VS,
Siemens,https://press.siemens.com/in/en,h3,,,
Blue Star,https://www.bluestarindia.com/media/press-releases,a,,,
Premier Energies,https://www.premierenergies.com/newsroom,h2,,,
APL Apollo Tubes,https://aplapollo.com/news,h3,,titles retrived but news redirecting to pdf format,
Dr Lal Pathlabs,https://www.lalpathlabs.com/blog/articles/?category=news,h3,,,
